,country,diversity,year
1143876,BDI,88,1996
1148893,BEL,1504,1996
1153910,BEN,127,1996
1158927,BFA,143,1996
1163944,BGD,351,1996
1168961,BGR,1138,1996
1173978,BHR,175,1996
1178995,BHS,119,1996
1184012,BIH,727,1996
1189029,BLR,628,1996
1194046,BLZ,141,1996
1199063,BMU,63,1996
1204080,BOL,230,1996
1209097,BRA,871,1996
1214114,BRB,238,1996
1219131,BRN,41,1996
1224148,BTN,81,1996
1229165,CAF,90,1996
1234182,CAN,803,1996
1239199,CCK,52,1996
1244216,CHE,1264,1996
1249233,CHL,462,1996
1254250,CHN,1644,1996
1259267,CIV,275,1996
1264284,CMR,145,1996
1269301,COD,75,1996
1274318,COG,41,1996
1279335,COK,104,1996
1284352,COL,526,1996
1289369,COM,63,1996
1294386,CPV,95,1996
1299403,CRI,460,1996
1304420,CUB,112,1996
1309437,CXR,32,1996
1314454,CYM,78,1996
1319471,CYP,608,1996
1324488,CZE,1683,1996
1329505,DEU,2193,1996
1334522,DJI,97,1996
1339539,DMA,276,1996
1344556,DNK,1134,1996
1349573,DOM,342,1996
1354590,DZA,96,1996
1359607,ECU,242,1996
1364624,EGY,596,1996
1369641,ERI,62,1996
1374658,ESP,1544,1996
1379675,EST,889,1996
1384692,ETH,94,1996
1389709,FIN,779,1996
1394726,FJI,237,1996
1399743,FLK,48,1996
1404760,FRA,1799,1996
1409777,FSM,43,1996
1414794,GAB,46,1996
1419811,GBR,1658,1996
1424828,GEO,457,1996
1429845,GHA,180,1996
1434862,GIB,137,1996
1439879,GIN,95,1996
1444896,GMB,119,1996
1449913,GNB,42,1996
1454930,GNQ,30,1996
1459947,GRC,891,1996
1464964,GRD,152,1996
1469981,GRL,63,1996
1474998,GTM,586,1996
1480015,GUY,110,1996
1485032,HKG,1391,1996
1490049,HND,447,1996
1495066,HRV,906,1996
1500083,HTI,233,1996
1505100,HUN,1236,1996
1510117,IDN,949,1996
1515134,IND,1351,1996
1520151,IOT,50,1996
1525168,IRL,708,1996
1530185,IRN,114,1996
1535202,IRQ,84,1996
1540219,ISL,218,1996
1545236,ISR,800,1996
1550253,ITA,2025,1996
1555270,JAM,294,1996
1560287,JOR,331,1996
1565304,JPN,1293,1996
1570321,KAZ,465,1996
1575338,KEN,478,1996
1580355,KGZ,462,1996
1585372,KHM,280,1996
1590389,KIR,58,1996
1595406,KNA,142,1996
1600423,KOR,1123,1996
1605440,KWT,51,1996
1610457,LAO,361,1996
1615474,LBN,515,1996
1620491,LBR,24,1996
1625508,LBY,43,1996
1630525,LCA,182,1996
1635542,LKA,516,1996
1640559,LTU,908,1996
1645576,LVA,625,1996
1650593,MAC,441,1996
1655610,MAR,601,1996
1660627,MDA,561,1996
1665644,MDG,335,1996
1670661,MDV,102,1996
1675678,MEX,795,1996
1680695,MHL,35,1996
1685712,MKD,764,1996
1690729,MLI,150,1996
1695746,MLT,365,1996
1700763,MMR,251,1996
1705780,MNG,169,1996
1710797,MNP,66,1996
1715814,MOZ,130,1996
1720831,MRT,69,1996
1725848,MSR,51,1996
1730865,MUS,366,1996
1735882,MWI,264,1996
1740899,MYS,652,1996
1745916,NCL,31,1996
1750933,NER,183,1996
1755950,NFK,23,1996
1760967,NGA,98,1996
1765984,NIC,250,1996
1771001,NIU,39,1996
1776018,NLD,1465,1996
1781035,NOR,525,1996
1786052,NPL,258,1996
1791069,NRU,46,1996
1796086,NZL,669,1996
1801103,OMN,179,1996
1806120,PAK,560,1996
1811137,PAN,512,1996
1816154,PCN,29,1996
1821171,PER,406,1996
1826188,PHL,601,1996
1831205,PLW,49,1996
1836222,PNG,69,1996
1841239,POL,1279,1996
1846256,PRK,759,1996
1851273,PRT,1030,1996
1856290,PRY,241,1996
1861307,PUS,183,1996
1866324,PYF,184,1996
1871341,QAT,47,1996
1876358,ROU,952,1996
1881375,RUS,642,1996
1886392,RWA,93,1996
1891409,S19,1420,1996
1896426,SAU,170,1996
1901443,SCG,1064,1996
1906460,SDN,155,1996
1911477,SEN,297,1996
1916494,SGP,693,1996
1921511,SHN,77,1996
1926528,SLB,44,1996
1931545,SLE,165,1996
1936562,SLV,509,1996
1941579,SOM,61,1996
1946596,SPM,76,1996
1951613,STP,73,1996
1956630,SUR,89,1996
1961647,SVK,1009,1996
1966664,SVN,1228,1996
1971681,SWE,1090,1996
1976698,SYC,106,1996
1981715,SYR,209,1996
1986732,TCA,60,1996
1991749,TCD,31,1996
1996766,TGO,285,1996
2001783,THA,1029,1996
2006800,TJK,236,1996
2011817,TKL,120,1996
2016834,TKM,73,1996
2021851,TLS,46,1996
2026868,TON,61,1996
2031885,TTO,299,1996
2036902,TUN,603,1996
2041919,TUR,1176,1996
2046936,TUV,49,1996
2051953,TZA,237,1996
2056970,UGA,186,1996
2061987,UKR,891,1996
