,country,diversity,year
5423164,AZE,214,2000
5428181,BDI,70,2000
5433198,BEL,1562,2000
5438215,BEN,199,2000
5443232,BFA,346,2000
5448249,BGD,404,2000
5453266,BGR,1040,2000
5458283,BHR,217,2000
5463300,BHS,300,2000
5468317,BIH,579,2000
5473334,BLR,778,2000
5478351,BLZ,174,2000
5483368,BMU,82,2000
5488385,BOL,274,2000
5493402,BRA,844,2000
5498419,BRB,309,2000
5503436,BRN,61,2000
5508453,BTN,102,2000
5513470,BWA,122,2000
5518487,CAF,91,2000
5523504,CAN,864,2000
5528521,CCK,86,2000
5533538,CHE,1244,2000
5538555,CHL,452,2000
5543572,CHN,1799,2000
5548589,CIV,363,2000
5553606,CMR,125,2000
5558623,COD,54,2000
5563640,COG,41,2000
5568657,COK,93,2000
5573674,COL,539,2000
5578691,COM,66,2000
5583708,CPV,234,2000
5588725,CRI,443,2000
5593742,CUB,148,2000
5598759,CXR,50,2000
5603776,CYM,42,2000
5608793,CYP,668,2000
5613810,CZE,1526,2000
5618827,DEU,2126,2000
5623844,DJI,174,2000
5628861,DMA,385,2000
5633878,DNK,1210,2000
5638895,DOM,323,2000
5643912,DZA,61,2000
5648929,ECU,294,2000
5653946,EGY,667,2000
5658963,ERI,126,2000
5663980,ESP,1770,2000
5668997,EST,691,2000
5674014,ETH,152,2000
5679031,FIN,718,2000
5684048,FJI,312,2000
5689065,FLK,41,2000
5694082,FRA,1807,2000
5699099,FSM,46,2000
5704116,GAB,48,2000
5709133,GBR,1532,2000
5714150,GEO,411,2000
5719167,GHA,220,2000
5724184,GIB,139,2000
5729201,GIN,76,2000
5734218,GMB,228,2000
5739235,GNB,26,2000
5744252,GNQ,16,2000
5749269,GRC,1035,2000
5754286,GRD,164,2000
5759303,GRL,66,2000
5764320,GTM,657,2000
5769337,GUM,52,2000
5774354,GUY,144,2000
5779371,HKG,1397,2000
5784388,HND,364,2000
5789405,HRV,831,2000
5794422,HTI,185,2000
5799439,HUN,969,2000
5804456,IDN,1128,2000
5809473,IND,1581,2000
5814490,IOT,57,2000
5819507,IRL,503,2000
5824524,IRN,297,2000
5829541,IRQ,4,2000
5834558,ISL,263,2000
5839575,ISR,707,2000
5844592,ITA,2204,2000
5849609,JAM,247,2000
5854626,JOR,628,2000
5859643,JPN,1306,2000
5864660,KAZ,219,2000
5869677,KEN,587,2000
5874694,KGZ,421,2000
5879711,KHM,318,2000
5884728,KIR,28,2000
5889745,KNA,137,2000
5894762,KOR,1049,2000
5899779,KWT,57,2000
5904796,LAO,156,2000
5909813,LBN,788,2000
5914830,LBR,52,2000
5919847,LBY,44,2000
5924864,LCA,179,2000
5929881,LKA,648,2000
5934898,LSO,77,2000
5939915,LTU,755,2000
5944932,LUX,608,2000
5949949,LVA,599,2000
5954966,MAC,391,2000
5959983,MAR,612,2000
5965000,MDA,540,2000
5970017,MDG,438,2000
5975034,MDV,134,2000
5980051,MEX,740,2000
5985068,MHL,52,2000
5990085,MKD,643,2000
5995102,MLI,196,2000
6000119,MLT,274,2000
6005136,MMR,304,2000
6010153,MNG,251,2000
6015170,MNP,110,2000
6020187,MOZ,269,2000
6025204,MRT,84,2000
6030221,MSR,155,2000
6035238,MUS,476,2000
6040255,MWI,226,2000
6045272,MYS,626,2000
6050289,MYT,123,2000
6055306,NAM,363,2000
6060323,NCL,82,2000
6065340,NER,204,2000
6070357,NFK,34,2000
6075374,NGA,68,2000
6080391,NIC,287,2000
6085408,NIU,104,2000
6090425,NLD,1435,2000
6095442,NOR,478,2000
6100459,NPL,447,2000
6105476,NRU,71,2000
6110493,NZL,701,2000
6115510,OMN,187,2000
6120527,PAK,594,2000
6125544,PAN,800,2000
6130561,PCN,55,2000
6135578,PER,471,2000
6140595,PHL,490,2000
6145612,PLW,34,2000
6150629,PNG,102,2000
6155646,POL,1311,2000
6160663,PRK,714,2000
6165680,PRT,1134,2000
6170697,PRY,176,2000
6175714,PSE,236,2000
6180731,PUS,1,2000
6185748,PYF,123,2000
6190765,QAT,76,2000
6195782,ROU,931,2000
6200799,RUS,655,2000
6205816,RWA,82,2000
6210833,S19,1414,2000
6215850,SAU,181,2000
6220867,SCG,1011,2000
6225884,SDN,106,2000
6230901,SEN,521,2000
6235918,SGP,738,2000
6240935,SHN,199,2000
6245952,SLB,63,2000
6250969,SLE,266,2000
6255986,SLV,558,2000
6261003,SMR,233,2000
6266020,SOM,95,2000
6271037,SPM,48,2000
6276054,STP,119,2000
6281071,SUR,160,2000
6286088,SVK,917,2000
6291105,SVN,1156,2000
6296122,SWE,1078,2000
6301139,SWZ,438,2000
6306156,SYC,70,2000
6311173,SYR,314,2000
6316190,TCA,148,2000
6321207,TCD,44,2000
6326224,TGO,291,2000
6331241,THA,1073,2000
6336258,TJK,193,2000
6341275,TKL,268,2000
6346292,TKM,118,2000
6351309,TLS,16,2000
6356326,TON,86,2000
6361343,TTO,257,2000
6366360,TUN,664,2000
6371377,TUR,1338,2000
6376394,TUV,68,2000
6381411,TZA,363,2000
6386428,UGA,212,2000
6391445,UKR,811,2000
6396462,URY,482,2000
6401479,USA,1793,2000
6406496,UZB,304,2000
6411513,VCT,165,2000
6416530,VEN,205,2000
6421547,VGB,178,2000
6426564,VNM,719,2000
6431581,VUT,64,2000
6436598,WLF,38,2000
6441615,WSM,75,2000
6446632,YEM,66,2000
6451649,ZAF,1197,2000
6456666,ZMB,323,2000
6461683,ZWE,557,2000
6466700,ABW,31,2001
6471715,AFG,221,2001
6476730,AGO,15,2001
6481745,AIA,238,2001
6486760,ALB,568,2001
6491775,AND,469,2001
6496790,ANT,163,2001
6501805,ARE,339,2001
6506820,ARG,564,2001
6511835,ARM,396,2001
6516850,ASM,147,2001
6521865,ATF,33,2001
6526880,ATG,102,2001
6531895,AUS,678,2001
6536910,AUT,1405,2001
6541925,AZE,154,2001
6546940,BDI,90,2001
6551955,BEL,1513,2001
6556970,BEN,182,2001
6561985,BFA,425,2001
6567000,BGD,403,2001
6572015,BGR,1055,2001
6577030,BHR,203,2001
6582045,BHS,256,2001
6587060,BIH,613,2001
6592075,BLR,751,2001
6597090,BLZ,160,2001
6602105,BMU,69,2001
6607120,BOL,268,2001
6612135,BRA,779,2001
6617150,BRB,347,2001
6622165,BRN,116,2001
6627180,BTN,132,2001
6632195,BWA,135,2001
6637210,CAF,107,2001
6642225,CAN,881,2001
6647240,CCK,77,2001
6652255,CHE,1211,2001
6657270,CHL,470,2001
6662285,CHN,1816,2001
6667300,CIV,302,2001
6672315,CMR,125,2001
6677330,COD,53,2001
6682345,COG,49,2001
6687360,COK,86,2001
6692375,COL,584,2001
6697390,COM,36,2001
6702405,CPV,203,2001
6707420,CRI,476,2001
6712435,CUB,168,2001
6717450,CXR,30,2001
6722465,CYM,59,2001
6727480,CYP,625,2001
6732495,CZE,1452,2001
6737510,DEU,2021,2001
6742525,DJI,148,2001
6747540,DMA,355,2001
6752555,DNK,1190,2001
6757570,DOM,392,2001
6762585,DZA,63,2001
6767600,ECU,303,2001
6772615,EGY,699,2001
6777630,ERI,141,2001
6782645,ESP,1763,2001
6787660,EST,733,2001
6792675,ETH,213,2001
6797690,FIN,742,2001
6802705,FJI,330,2001
6807720,FLK,30,2001
6812735,FRA,1713,2001
6817750,FSM,56,2001
6822765,GAB,57,2001
6827780,GBR,1519,2001
6832795,GEO,356,2001
6837810,GHA,217,2001
6842825,GIB,127,2001
6847840,GIN,110,2001
6852855,GMB,228,2001
6857870,GNB,30,2001
6862885,GNQ,16,2001
6867900,GRC,990,2001
6872915,GRD,177,2001
6877930,GRL,77,2001
6882945,GTM,656,2001
6887960,GUM,107,2001
6892975,GUY,203,2001
6897990,HKG,1383,2001
6903005,HND,337,2001
6908020,HRV,806,2001
6913035,HTI,165,2001
6918050,HUN,916,2001
6923065,IDN,1118,2001
6928080,IND,1615,2001
6933095,IOT,42,2001
6938110,IRL,450,2001
6943125,IRN,338,2001
6948140,IRQ,10,2001
6953155,ISL,251,2001
6958170,ISR,725,2001
6963185,ITA,2157,2001
6968200,JAM,206,2001
6973215,JOR,569,2001
6978230,JPN,1291,2001
6983245,KAZ,242,2001
6988260,KEN,573,2001
6993275,KGZ,358,2001
6998290,KHM,289,2001
7003305,KIR,40,2001
7008320,KNA,153,2001
7013335,KOR,1104,2001
7018350,KWT,72,2001
7023365,LAO,181,2001
7028380,LBN,821,2001
7033395,LBR,41,2001
7038410,LBY,45,2001
7043425,LCA,223,2001
7048440,LKA,661,2001
7053455,LSO,197,2001
7058470,LTU,682,2001
7063485,LUX,625,2001
7068500,LVA,630,2001
7073515,MAC,398,2001
7078530,MAR,605,2001
7083545,MDA,506,2001
7088560,MDG,398,2001
7093575,MDV,134,2001
7098590,MEX,736,2001
7103605,MHL,31,2001
7108620,MKD,661,2001
7113635,MLI,178,2001
7118650,MLT,264,2001
7123665,MMR,296,2001
7128680,MNG,223,2001
7133695,MNP,123,2001
7138710,MOZ,161,2001
7143725,MRT,79,2001
7148740,MSR,135,2001
7153755,MUS,513,2001
7158770,MWI,211,2001
7163785,MYS,668,2001
7168800,MYT,197,2001
7173815,NAM,290,2001
7178830,NCL,82,2001
7183845,NER,191,2001
7188860,NFK,43,2001
7193875,NGA,64,2001
7198890,NIC,273,2001
7203905,NIU,114,2001
7208920,NLD,1431,2001
7213935,NOR,468,2001
7218950,NPL,429,2001
7223965,NRU,103,2001
7228980,NZL,681,2001
7233995,OMN,182,2001
7239010,PAK,600,2001
7244025,PAN,770,2001
7249040,PCN,62,2001
7254055,PER,504,2001
7259070,PHL,535,2001
7264085,PLW,28,2001
7269100,PNG,112,2001
7274115,POL,1234,2001
7279130,PRK,739,2001
7284145,PRT,1117,2001
7289160,PRY,183,2001
7294175,PSE,205,2001
7299190,PUS,5,2001
7304205,PYF,109,2001
7309220,QAT,68,2001
7314235,ROU,950,2001
7319250,RUS,638,2001
7324265,RWA,107,2001
7329280,S19,1414,2001
7334295,SAU,214,2001
7339310,SCG,1015,2001
7344325,SDN,93,2001
7349340,SEN,392,2001
7354355,SGP,790,2001
7359370,SHN,140,2001
7364385,SLB,79,2001
7369400,SLE,320,2001
7374415,SLV,547,2001
7379430,SMR,214,2001
7384445,SOM,107,2001
7389460,SPM,56,2001
7394475,STP,103,2001
7399490,SUR,147,2001
7404505,SVK,902,2001
7409520,SVN,1138,2001
7414535,SWE,1121,2001
7419550,SWZ,484,2001
7424565,SYC,79,2001
7429580,SYR,342,2001
7434595,TCA,170,2001
7439610,TCD,58,2001
7444625,TGO,323,2001
7449640,THA,1062,2001
7454655,TJK,171,2001
7459670,TKL,223,2001
7464685,TKM,87,2001
7469700,TLS,76,2001
7474715,TON,80,2001
7479730,TTO,244,2001
7484745,TUN,699,2001
7489760,TUR,1352,2001
7494775,TUV,376,2001
7499790,TZA,363,2001
7504805,UGA,254,2001
7509820,UKR,763,2001
7514835,URY,453,2001
7519850,USA,1777,2001
7524865,UZB,278,2001
7529880,VCT,124,2001
7534895,VEN,220,2001
7539910,VGB,188,2001
7544925,VNM,801,2001
7549940,VUT,80,2001
7554955,WLF,38,2001
7559970,WSM,178,2001
7564985,YEM,81,2001
7570000,ZAF,1113,2001
7575015,ZMB,263,2001
7580030,ZWE,434,2001
7585045,ABW,37,2002
7590056,AFG,202,2002
7595067,AGO,15,2002
7600078,AIA,178,2002
7605089,ALB,502,2002
7610100,AND,452,2002
7615111,ANT,172,2002
7620122,ARE,386,2002
7625133,ARG,536,2002
7630144,ARM,310,2002
7635155,ASM,169,2002
7640166,ATF,57,2002
7645177,ATG,104,2002
7650188,AUS,688,2002
7655199,AUT,1366,2002
7660210,AZE,151,2002
7665221,BDI,105,2002
7670232,BEL,1474,2002
7675243,BEN,194,2002
7680254,BFA,454,2002
7685265,BGD,391,2002
7690276,BGR,1038,2002
7695287,BHR,223,2002
7700298,BHS,182,2002
7705309,BIH,606,2002
7710320,BLR,724,2002
7715331,BLZ,199,2002
7720342,BMU,84,2002
7725353,BOL,231,2002
7730364,BRA,770,2002
7735375,BRB,323,2002
7740386,BRN,111,2002
7745397,BTN,115,2002
7750408,BWA,151,2002
7755419,CAF,97,2002
7760430,CAN,896,2002
7765441,CCK,84,2002
7770452,CHE,1166,2002
7775463,CHL,437,2002
7780474,CHN,1815,2002
7785485,CIV,269,2002
7790496,CMR,139,2002
7795507,COD,50,2002
7800518,COG,48,2002
7805529,COK,128,2002
7810540,COL,577,2002
7815551,COM,54,2002
7820562,CPV,153,2002
7825573,CRI,410,2002
7830584,CUB,182,2002
7835595,CXR,69,2002
7840606,CYM,72,2002
7845617,CYP,654,2002
7850628,CZE,1369,2002
7855639,DEU,2003,2002
7860650,DJI,101,2002
7865661,DMA,277,2002
7870672,DNK,1135,2002
7875683,DOM,412,2002
7880694,DZA,74,2002
7885705,ECU,282,2002
7890716,EGY,728,2002
7895727,ERI,170,2002
7900738,ESP,1722,2002
7905749,EST,725,2002
7910760,ETH,213,2002
7915771,FIN,738,2002
7920782,FJI,488,2002
7925793,FLK,27,2002
7930804,FRA,1713,2002
7935815,FSM,82,2002
7940826,GAB,56,2002
7945837,GBR,1470,2002
7950848,GEO,323,2002
7955859,GHA,184,2002
7960870,GIB,137,2002
7965881,GIN,83,2002
7970892,GMB,278,2002
7975903,GNB,51,2002
7980914,GNQ,13,2002
7985925,GRC,978,2002
7990936,GRD,194,2002
7995947,GRL,77,2002
8000958,GTM,629,2002
8005969,GUM,133,2002
8010980,GUY,194,2002
8015991,HKG,1281,2002
8021002,HND,346,2002
8026013,HRV,820,2002
8031024,HTI,168,2002
8036035,HUN,890,2002
8041046,IDN,1101,2002
8046057,IND,1612,2002
8051068,IOT,63,2002
8056079,IRL,394,2002
8061090,IRN,404,2002
8066101,IRQ,10,2002
8071112,ISL,256,2002
8076123,ISR,727,2002
8081134,ITA,2152,2002
8086145,JAM,231,2002
8091156,JOR,493,2002
8096167,JPN,1295,2002
8101178,KAZ,216,2002
8106189,KEN,638,2002
8111200,KGZ,384,2002
8116211,KHM,289,2002
8121222,KIR,37,2002
8126233,KNA,163,2002
8131244,KOR,1024,2002
8136255,KWT,83,2002
8141266,LAO,192,2002
8146277,LBN,844,2002
8151288,LBR,70,2002
8156299,LBY,48,2002
8161310,LCA,286,2002
8166321,LKA,649,2002
8171332,LSO,157,2002
8176343,LTU,694,2002
8181354,LUX,604,2002
8186365,LVA,624,2002
8191376,MAC,384,2002
8196387,MAR,594,2002
8201398,MDA,464,2002
8206409,MDG,442,2002
8211420,MDV,146,2002
8216431,MEX,692,2002
8221442,MHL,31,2002
8226453,MKD,616,2002
8231464,MLI,169,2002
8236475,MLT,255,2002
8241486,MMR,289,2002
8246497,MNG,237,2002
8251508,MNP,136,2002
8256519,MOZ,172,2002
8261530,MRT,81,2002
8266541,MSR,140,2002
8271552,MUS,530,2002
8276563,MWI,191,2002
8281574,MYS,646,2002
8286585,MYT,115,2002
8291596,NAM,420,2002
8296607,NCL,96,2002
8301618,NER,247,2002
8306629,NFK,42,2002
8311640,NGA,79,2002
8316651,NIC,265,2002
8321662,NIU,63,2002
8326673,NLD,1432,2002
8331684,NOR,461,2002
8336695,NPL,465,2002
8341706,NRU,103,2002
8346717,NZL,700,2002
8351728,OMN,231,2002
8356739,PAK,621,2002
8361750,PAN,728,2002
8366761,PCN,71,2002
8371772,PER,456,2002
8376783,PHL,517,2002
8381794,PLW,30,2002
8386805,PNG,131,2002
8391816,POL,1237,2002
8396827,PRK,692,2002
8401838,PRT,1084,2002
8406849,PRY,170,2002
8411860,PSE,191,2002
8416871,PUS,3,2002
8421882,PYF,120,2002
8426893,QAT,79,2002
8431904,ROU,939,2002
8436915,RUS,641,2002
8441926,RWA,112,2002
8446937,S19,1379,2002
8451948,SAU,223,2002
8456959,SCG,1017,2002
8461970,SDN,108,2002
8466981,SEN,360,2002
8471992,SGP,759,2002
8477003,SHN,155,2002
8482014,SLB,60,2002
8487025,SLE,325,2002
8492036,SLV,527,2002
8497047,SMR,256,2002
8502058,SOM,130,2002
8507069,SPM,44,2002
8512080,STP,138,2002
8517091,SUR,156,2002
8522102,SVK,851,2002
8527113,SVN,1081,2002
8532124,SWE,1117,2002
8537135,SWZ,426,2002
8542146,SYC,68,2002
8547157,SYR,347,2002
8552168,TCA,172,2002
8557179,TCD,71,2002
8562190,TGO,342,2002
8567201,THA,1078,2002
8572212,TJK,171,2002
8577223,TKL,286,2002
8582234,TKM,82,2002
8587245,TLS,90,2002
8592256,TON,72,2002
8597267,TTO,247,2002
8602278,TUN,697,2002
8607289,TUR,1312,2002
8612300,TUV,392,2002
8617311,TZA,372,2002
8622322,UGA,243,2002
8627333,UKR,758,2002
8632344,URY,434,2002
8637355,USA,1771,2002
8642366,UZB,251,2002
8647377,VCT,166,2002
8652388,VEN,225,2002
8657399,VGB,166,2002
8662410,VNM,882,2002
8667421,VUT,87,2002
8672432,WLF,40,2002
8677443,WSM,183,2002
8682454,YEM,85,2002
8687465,ZAF,1204,2002
8692476,ZMB,311,2002
8697487,ZWE,498,2002
8702498,ABW,24,2003
8707505,AFG,228,2003
8712512,AGO,11,2003
8717519,AIA,166,2003
8722526,ALB,532,2003
8727533,AND,390,2003
8732540,ANT,150,2003
8737547,ARE,354,2003
8742554,ARG,523,2003
8747561,ARM,293,2003
8752568,ASM,213,2003
8757575,ATF,57,2003
8762582,ATG,95,2003
8767589,AUS,684,2003
8772596,AUT,1368,2003
8777603,AZE,155,2003
8782610,BDI,78,2003
8787617,BEL,1419,2003
8792624,BEN,188,2003
8797631,BFA,187,2003
8802638,BGD,416,2003
8807645,BGR,1065,2003
8812652,BHR,239,2003
8817659,BHS,149,2003
8822666,BIH,594,2003
8827673,BLR,735,2003
8832680,BLZ,188,2003
8837687,BMU,65,2003
8842694,BOL,229,2003
8847701,BRA,793,2003
8852708,BRB,304,2003
8857715,BRN,105,2003
8862722,BTN,134,2003
8867729,BWA,168,2003
8872736,CAF,76,2003
8877743,CAN,874,2003
8882750,CCK,76,2003
8887757,CHE,1180,2003
8892764,CHL,467,2003
8897771,CHN,1832,2003
8902778,CIV,253,2003
8907785,CMR,157,2003
8912792,COD,71,2003
8917799,COG,55,2003
8922806,COK,118,2003
8927813,COL,533,2003
8932820,COM,59,2003
8937827,CPV,144,2003
8942834,CRI,343,2003
8947841,CUB,172,2003
8952848,CXR,63,2003
8957855,CYM,40,2003
8962862,CYP,574,2003
8967869,CZE,1360,2003
8972876,DEU,1977,2003
8977883,DJI,226,2003
8982890,DMA,227,2003
8987897,DNK,1163,2003
8992904,DOM,434,2003
8997911,DZA,69,2003
9002918,ECU,273,2003
9007925,EGY,758,2003
9012932,ERI,252,2003
9017939,ESP,1692,2003
9022946,EST,736,2003
9027953,ETH,202,2003
9032960,FIN,747,2003
9037967,FJI,486,2003
9042974,FLK,28,2003
9047981,FRA,1678,2003
9052988,FSM,63,2003
9057995,GAB,43,2003
9063002,GBR,1500,2003
9068009,GEO,292,2003
9073016,GHA,330,2003
9078023,GIB,126,2003
9083030,GIN,81,2003
9088037,GMB,283,2003
9093044,GNB,72,2003
9098051,GNQ,11,2003
9103058,GRC,1001,2003
9108065,GRD,210,2003
9113072,GRL,69,2003
9118079,GTM,617,2003
9123086,GUM,303,2003
9128093,GUY,223,2003
9133100,HKG,1340,2003
9138107,HND,351,2003
9143114,HRV,865,2003
9148121,HTI,164,2003
9153128,HUN,872,2003
9158135,IDN,1089,2003
9163142,IND,1625,2003
9168149,IOT,157,2003
9173156,IRL,396,2003
9178163,IRN,364,2003
9183170,IRQ,35,2003
9188177,ISL,243,2003
9193184,ISR,742,2003
9198191,ITA,2159,2003
9203198,JAM,230,2003
9208205,JOR,600,2003
9213212,JPN,1285,2003
9218219,KAZ,232,2003
9223226,KEN,679,2003
9228233,KGZ,379,2003
9233240,KHM,285,2003
9238247,KIR,34,2003
9243254,KNA,149,2003
9248261,KOR,975,2003
9253268,KWT,82,2003
9258275,LAO,211,2003
9263282,LBN,797,2003
9268289,LBR,52,2003
9273296,LBY,49,2003
9278303,LCA,276,2003
9283310,LKA,647,2003
9288317,LSO,118,2003
9293324,LTU,682,2003
9298331,LUX,550,2003
9303338,LVA,653,2003
9308345,MAC,397,2003
9313352,MAR,612,2003
9318359,MDA,507,2003
9323366,MDG,383,2003
9328373,MDV,111,2003
9333380,MEX,703,2003
9338387,MHL,42,2003
9343394,MKD,571,2003
9348401,MLI,127,2003
9353408,MLT,249,2003
9358415,MMR,311,2003
9363422,MNG,249,2003
9368429,MNP,207,2003
9373436,MOZ,196,2003
9378443,MRT,77,2003
9383450,MSR,203,2003
9388457,MUS,563,2003
9393464,MWI,182,2003
9398471,MYS,623,2003
9403478,MYT,208,2003
9408485,NAM,424,2003
9413492,NCL,89,2003
9418499,NER,203,2003
9423506,NFK,63,2003
9428513,NGA,69,2003
9433520,NIC,265,2003
9438527,NIU,45,2003
9443534,NLD,1431,2003
9448541,NOR,439,2003
9453548,NPL,727,2003
9458555,NRU,124,2003
9463562,NZL,729,2003
9468569,OMN,107,2003
9473576,PAK,773,2003
9478583,PAN,681,2003
9483590,PCN,71,2003
9488597,PER,479,2003
9493604,PHL,502,2003
9498611,PLW,40,2003
9503618,PNG,114,2003
9508625,POL,1247,2003
9513632,PRK,565,2003
9518639,PRT,1100,2003
9523646,PRY,159,2003
9528653,PSE,231,2003
9533660,PYF,149,2003
9538667,QAT,63,2003
9543674,ROU,939,2003
9548681,RUS,594,2003
9553688,RWA,105,2003
9558695,S19,1363,2003
9563702,SAU,236,2003
9568709,SCG,807,2003
9573716,SDN,91,2003
9578723,SEN,419,2003
9583730,SGP,731,2003
9588737,SHN,160,2003
9593744,SLB,56,2003
9598751,SLE,283,2003
9603758,SLV,489,2003
9608765,SMR,247,2003
9613772,SOM,116,2003
9618779,SPM,34,2003
9623786,STP,151,2003
9628793,SUR,166,2003
9633800,SVK,804,2003
9638807,SVN,1050,2003
9643814,SWE,1084,2003
9648821,SWZ,400,2003
9653828,SYC,73,2003
9658835,SYR,597,2003
9663842,TCA,141,2003
9668849,TCD,57,2003
9673856,TGO,310,2003
9678863,THA,1102,2003
9683870,TJK,158,2003
9688877,TKL,283,2003
9693884,TKM,68,2003
9698891,TLS,91,2003
9703898,TON,110,2003
9708905,TTO,192,2003
9713912,TUN,711,2003
9718919,TUR,1344,2003
9723926,TUV,107,2003
9728933,TZA,362,2003
9733940,UGA,302,2003
9738947,UKR,734,2003
9743954,URY,410,2003
9748961,USA,1783,2003
9753968,UZB,257,2003
9758975,VCT,188,2003
9763982,VEN,183,2003
9768989,VGB,153,2003
9773996,VNM,854,2003
9779003,VUT,83,2003
9784010,WLF,23,2003
9789017,WSM,145,2003
9794024,YEM,76,2003
9799031,ZAF,1229,2003
9804038,ZMB,287,2003
9809045,ZWE,498,2003
9814052,ABW,22,2004
9819059,AFG,237,2004
9824066,AGO,21,2004
9829073,AIA,175,2004
9834080,ALB,553,2004
9839087,AND,401,2004
9844094,ANT,151,2004
9849101,ARE,412,2004
9854108,ARG,556,2004
9859115,ARM,303,2004
9864122,ASM,217,2004
9869129,ATF,52,2004
9874136,ATG,117,2004
9879143,AUS,626,2004
9884150,AUT,1381,2004
9889157,AZE,140,2004
9894164,BDI,91,2004
9899171,BEL,1430,2004
9904178,BEN,126,2004
9909185,BFA,227,2004
9914192,BGD,428,2004
9919199,BGR,1040,2004
9924206,BHR,219,2004
9929213,BHS,149,2004
9934220,BIH,695,2004
9939227,BLR,681,2004
9944234,BLZ,206,2004
9949241,BMU,72,2004
9954248,BOL,221,2004
9959255,BRA,832,2004
9964262,BRB,301,2004
9969269,BRN,114,2004
9974276,BTN,116,2004
9979283,BWA,179,2004
9984290,CAF,85,2004
9989297,CAN,872,2004
9994304,CCK,83,2004
9999311,CHE,1182,2004
10004318,CHL,405,2004
10009325,CHN,1923,2004
10014332,CIV,240,2004
10019339,CMR,118,2004
10024346,COD,66,2004
10029353,COG,47,2004
10034360,COK,115,2004
10039367,COL,549,2004
10044374,COM,56,2004
10049381,CPV,142,2004
10054388,CRI,379,2004
10059395,CUB,167,2004
10064402,CXR,50,2004
10069409,CYM,42,2004
10074416,CYP,639,2004
10079423,CZE,1352,2004
10084430,DEU,1966,2004
10089437,DJI,179,2004
10094444,DMA,291,2004
10099451,DNK,1157,2004
10104458,DOM,435,2004
10109465,DZA,55,2004
10114472,ECU,227,2004
10119479,EGY,741,2004
10124486,ERI,191,2004
10129493,ESP,1697,2004
10134500,EST,796,2004
10139507,ETH,247,2004
10144514,FIN,742,2004
10149521,FJI,477,2004
10154528,FLK,27,2004
10159535,FRA,1743,2004
10164542,FSM,61,2004
10169549,GAB,52,2004
10174556,GBR,1510,2004
10179563,GEO,308,2004
10184570,GHA,213,2004
10189577,GIB,114,2004
10194584,GIN,103,2004
10199591,GMB,238,2004
10204598,GNB,65,2004
10209605,GNQ,11,2004
10214612,GRC,1032,2004
10219619,GRD,211,2004
10224626,GRL,66,2004
10229633,GTM,647,2004
10234640,GUM,365,2004
10239647,GUY,176,2004
10244654,HKG,1335,2004
10249661,HND,349,2004
10254668,HRV,793,2004
10259675,HTI,140,2004
10264682,HUN,850,2004
10269689,IDN,1116,2004
10274696,IND,1627,2004
10279703,IOT,112,2004
10284710,IRL,435,2004
10289717,IRN,329,2004
10294724,IRQ,70,2004
10299731,ISL,259,2004
10304738,ISR,743,2004
10309745,ITA,2202,2004
10314752,JAM,220,2004
10319759,JOR,621,2004
10324766,JPN,1254,2004
10329773,KAZ,221,2004
10334780,KEN,660,2004
10339787,KGZ,408,2004
10344794,KHM,282,2004
10349801,KIR,66,2004
10354808,KNA,147,2004
10359815,KOR,932,2004
10364822,KWT,82,2004
10369829,LAO,224,2004
10374836,LBN,860,2004
10379843,LBR,37,2004
10384850,LBY,45,2004
10389857,LCA,256,2004
10394864,LKA,634,2004
10399871,LSO,166,2004
10404878,LTU,733,2004
10409885,LUX,565,2004
10414892,LVA,701,2004
10419899,MAC,379,2004
10424906,MAR,608,2004
10429913,MDA,487,2004
10434920,MDG,418,2004
10439927,MDV,119,2004
10444934,MEX,737,2004
10449941,MHL,30,2004
10454948,MKD,603,2004
10459955,MLI,130,2004
10464962,MLT,233,2004
10469969,MMR,322,2004
10474976,MNG,260,2004
10479983,MNP,206,2004
10484990,MOZ,184,2004
10489997,MRT,76,2004
10495004,MSR,247,2004
10500011,MUS,620,2004
10505018,MWI,197,2004
10510025,MYS,653,2004
10515032,MYT,206,2004
10520039,NAM,408,2004
10525046,NCL,77,2004
10530053,NER,142,2004
10535060,NFK,45,2004
10540067,NGA,48,2004
10545074,NIC,267,2004
10550081,NIU,81,2004
10555088,NLD,1435,2004
10560095,NOR,431,2004
10565102,NPL,503,2004
10570109,NRU,81,2004
10575116,NZL,745,2004
10580123,OMN,188,2004
10585130,PAK,821,2004
10590137,PAN,724,2004
10595144,PCN,63,2004
10600151,PER,451,2004
10605158,PHL,506,2004
10610165,PLW,40,2004
10615172,PNG,117,2004
10620179,POL,1255,2004
10625186,PRK,569,2004
10630193,PRT,1192,2004
10635200,PRY,174,2004
10640207,PSE,140,2004
10645214,PYF,136,2004
10650221,QAT,67,2004
10655228,ROU,970,2004
10660235,RUS,546,2004
10665242,RWA,79,2004
10670249,S19,1309,2004
10675256,SAU,236,2004
10680263,SCG,1020,2004
10685270,SDN,81,2004
10690277,SEN,448,2004
10695284,SGP,705,2004
10700291,SHN,183,2004
10705298,SLB,54,2004
10710305,SLE,273,2004
10715312,SLV,549,2004
10720319,SMR,308,2004
10725326,SOM,90,2004
10730333,SPM,52,2004
10735340,STP,156,2004
10740347,SUR,142,2004
10745354,SVK,820,2004
10750361,SVN,1056,2004
10755368,SWE,1075,2004
10760375,SWZ,452,2004
10765382,SYC,100,2004
10770389,SYR,517,2004
