country,kl_divergence,clarity,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
GNQ,2.3832033321474992,0.2313555872675751,25,51.83567486909974,-2.257419,0,2.0
FSM,1.9839960607724996,0.40296885078103895,17,51.44274078954523,-2.2192662,0,1.0
BRN,2.408382247543437,0.4873498818553821,26,59.55979842933229,-2.1448586,leontief,4.0
KHM,1.6028720326313504,0.3803219623648564,38,56.14409890916335,-2.0854492,-3,1.0
LAO,2.1744801693337426,0.4371208104639782,34,58.376871791399964,-2.0467043,-9,4.0
MMR,1.6083896774109592,0.4602416886007583,30,53.59728590540912,-1.9942924,0,3.0
GNB,2.491191503698964,0.2829772099870055,30,53.047992077397836,-1.9601257,0,3.0
MDV,1.956915389462814,0.39858454779811237,29,56.68568554023842,-1.9441992,leontief,3.0
NGA,2.518289446257257,0.2707763406856344,30,55.4348597364378,-1.9347847,0,3.0
PLW,2.74544026049167,0.4246719690814069,26,59.25003128032369,-1.7808216,leontief,2.0
BGD,1.6203041479159321,0.41411914976211517,30,55.016228647866,-1.763141,0,4.0
IRQ,2.8078312304514084,0.30967973116339353,19,62.64347297766622,-1.7318088,1,4.0
HTI,2.399967477615283,0.24693791245956342,34,55.342607395226,-1.617938,0,4.0
MNP,2.1825929426199395,0.3811085130352907,32,58.964899029266526,-1.5484474,leontief,3.0
FJI,2.119513572917735,0.2218668316363035,32,54.54814603869318,-1.5197887,1,4.0
MDG,1.123254291712447,0.40242355820211106,24,52.28895308812837,-1.4629536,0,2.0
LKA,0.9212377213368365,0.2258210052372689,21,51.516487010516336,-1.3629272,0,1.0
PNG,2.095853005977338,0.35811887223391914,23,51.827404670981956,-1.3483969,0,2.0
MAC,1.497473931540831,0.3318971674953891,24,51.610668780660866,-1.3286109,0,1.0
MNG,1.7930822722567212,0.24103954445018239,30,55.0676452991721,-1.2950127,0,4.0
CMR,2.216305418021218,0.29780518468533734,38,52.89664692184621,-1.2920338,0,3.0
AGO,3.2500176514158565,0.3613758741424452,29,52.60149906274054,-1.2866893,0,3.0
VUT,3.007269306456162,0.19528864097403043,32,53.77154254804701,-1.271453,1,4.0
COG,2.3166667254400437,0.2276091705610298,36,58.068362420715886,-1.2697837,-3,3.0
SYR,1.7201943332181804,0.10438838053298582,31,55.13282292495743,-1.2552476,0,1.0
TLS,3.401538619802331,0.1337884426383209,30,60.210052899702724,-1.21751,0,3.0
PAK,0.970835854704871,0.378637739086921,27,53.22483711290378,-1.2072043,1,3.0
GAB,2.304483519123615,0.3818117307277493,39,60.389199754349086,-1.1837689,leontief,2.0
MWI,1.5433911264854743,0.14313202831835603,29,55.09048389022088,-1.161849,1,2.0
GUY,2.35256532709212,0.3564952910206769,24,50.97677157940253,-1.1589056,0,2.0
ETH,2.227396144391645,0.06502858869158057,28,55.421576393896636,-1.1396534,0,2.0
MAR,1.4293975019606164,0.1445769221576113,35,57.05322408536181,-1.1152416,0,1.0
TON,3.037762538839471,0.2623400499283586,27,56.96184938489102,-1.1083777,leontief,3.0
VNM,1.207438856456781,0.11191694009483788,23,56.055496045618405,-1.0924836,0,4.0
TKM,2.2640041338014534,0.06232976497994547,19,58.20325194960346,-1.0886706,0,2.0
MUS,1.5480985089380728,0.1526199958016059,30,52.13746174260401,-1.0664152,0,1.0
SDN,2.8854349564623387,0.2673881904596076,22,53.404981545072886,-1.0657796,0,2.0
YEM,2.7418086110325537,0.26475634398997694,21,55.00038075800245,-1.0431019,-3,4.0
TZA,1.8838984709236606,0.3139109068295485,27,51.90065513859783,-1.0321046,0,2.0
NPL,1.9024461118275229,0.17646618169754014,27,53.13278623331209,-1.0302833,0,2.0
GHA,2.418562014723793,0.37136171151557684,27,52.032524491829946,-1.0146921,1,3.0
GIN,2.8104930494501996,0.3676147011426527,22,52.517845789220544,-1.0023102,0,3.0
HND,1.7889481575408457,0.2043107591203679,26,53.772811883049144,-0.99266684,1,4.0
BEN,2.160443903311539,0.28447435392358267,29,52.62897947682118,-0.97668535,0,2.0
WSM,2.5431841592340194,0.09592324703646538,35,54.81166864307309,-0.96992445,1,2.0
DOM,1.3689944945604242,0.03591666204581845,31,54.72990825802762,-0.9305224,-3,1.0
COD,3.0872441773970336,0.3665049150467381,31,52.085675059218005,-0.91105056,0,3.0
MRT,2.639878654186467,0.27468012875697234,33,58.59526895030598,-0.8535007,leontief,2.0
TUN,1.05969720936245,0.10174722314049256,26,57.02412777904502,-0.8227445,leontief,1.0
ECU,2.628862413497303,0.3185243973305226,33,55.91965336405395,-0.7649092,-3,4.0
LBR,2.5518086381262437,0.3403961918588313,26,53.45038552398425,-0.737264,0,4.0
NIC,1.7115427694880854,0.367173235000525,29,50.72583650351153,-0.732687,0,2.0
LSO,3.2322607875884493,0.2731328407410486,27,51.57689839543714,-0.70755607,0,2.0
SLV,1.0538716068787273,0.13066874999885192,26,55.717931868767444,-0.7044989,1,4.0
TGO,1.7666842539715348,0.14028851924910424,24,55.412602087371646,-0.7033717,-3,3.0
SLB,2.385622278294711,0.4161175262135277,31,56.528623184008175,-0.69726896,leontief,4.0
TJK,1.9447395522316795,0.12065702896608554,31,56.804776904177345,-0.6672633,0,2.0
BLZ,2.351329910525778,0.20781825386352992,29,51.803096690547015,-0.6621629,0,2.0
PRY,2.4295554950281177,0.24647820018117272,29,53.97563175783925,-0.6538711,1,4.0
QAT,2.514709650075254,0.27796391953697874,30,54.69832952980895,-0.63849515,0,2.0
BOL,1.7928273918761877,0.27575548596135235,28,54.53790371041809,-0.63345087,0,4.0
PHL,1.9152243413816163,0.3799405976393677,27,57.687721185457434,-0.5858769,0,3.0
GTM,1.6978797877607055,0.19932599333263312,32,53.98105039639161,-0.5814684,1,4.0
JAM,1.999349703637147,0.12472989986342864,19,57.601249580085394,-0.5651605,leontief,3.0
OMN,1.4953286854837093,0.03937987767536966,35,57.298772981822786,-0.56328154,-3,1.0
TCD,2.255459562912187,0.2410431772337962,27,53.774755245469244,-0.55974513,1,2.0
CIV,1.430242662099298,0.24506466228945867,25,53.12349905994869,-0.55738276,0,2.0
SUR,2.498691512198779,0.3678802674420204,30,52.85011603867118,-0.5566465,0,3.0
UGA,1.9779369781203862,0.04096437841394318,35,56.7763320838928,-0.54506886,0,1.0
ALB,1.078463232133347,0.13314744521786248,33,53.403720722704115,-0.5442608,0,1.0
CAF,3.183281065839397,0.3547325211834501,24,50.42766844542834,-0.53102213,0,2.0
BDI,2.292603237129511,0.26263106499218447,27,53.253994705520135,-0.5074991,0,2.0
IDN,0.7772986635405588,0.13886839028672848,25,55.499590253660244,-0.50431615,0,1.0
EGY,1.0029800780348876,0.12573545394244323,26,55.11494924382983,-0.47727957,0,1.0
GUM,2.3596116604605784,0.2030760311021128,30,54.63276548968029,-0.4534315,0,3.0
GMB,2.8645760605167143,0.3648007748503014,34,54.061875877077085,-0.4506326,0,4.0
IRN,2.213550245840286,0.21097968829687153,25,53.64435039946254,-0.40888122,1,2.0
COM,3.092914728411554,0.23888444108188978,32,54.966764422960715,-0.4027704,0,4.0
PER,2.397546579269993,0.2339627829194677,25,53.33830500568797,-0.37777555,0,2.0
BWA,2.6850849884012042,0.3046909403468895,33,53.865850721602996,-0.35005102,0,3.0
COK,1.9393810106891758,0.13040519171076392,27,56.30469545630048,-0.34940434,0,4.0
TKL,0.996770994380111,0.08054195396374453,25,55.33845692526523,-0.34367535,0,1.0
PAN,1.8335830825363717,0.26057799925472114,30,52.7986418865223,-0.34235457,0,2.0
KEN,1.2236210040908584,0.0870886893007945,29,54.703150321456874,-0.32879886,1,3.0
MOZ,1.7481218729399475,0.19834335828007854,31,61.20758133826432,-0.32397738,leontief,1.0
LCA,2.777465632981443,0.24519468817635848,26,56.81165264066915,-0.30989462,leontief,3.0
UZB,2.6309225426315628,0.3006032562224603,27,52.440935684240245,-0.29773694,0,2.0
ZMB,1.366947642297589,0.1643955093773911,27,56.57259603750352,-0.2870895,1,4.0
VCT,2.4880531641764865,0.27306689257814154,30,56.925436104827256,-0.2779431,-9,4.0
MDA,1.8606010462981997,0.25405273711054477,29,58.28877686225055,-0.2339608,0,3.0
KIR,2.0520476011015516,0.2731948004196185,23,58.793647846393895,-0.20054677,1,2.0
SOM,2.7424833784914275,0.2298164040658517,22,53.63601428607412,-0.19066828,0,3.0
CRI,2.0505347984990245,0.2323231402393735,20,56.30579926873811,-0.18393654,0,2.0
MKD,1.6632232621660878,0.19865419029267928,28,58.07382118952827,-0.16647121,0,2.0
IOT,2.985117585609027,0.3338916345437335,26,53.33276833165492,-0.16099599,0,3.0
TCA,2.406728106518389,0.08262714923655223,30,62.01596938429636,-0.15084234,1,2.0
THA,1.1356245861394523,0.18916698177620772,24,59.993945382174104,-0.14936082,1,2.0
ARE,2.1749458079273243,0.200880747167955,27,54.242360183847886,-0.14654914,0,2.0
MLI,2.640997957861676,0.2319902001983466,32,53.962379996265,-0.14152274,0,2.0
HKG,1.0477702335890633,0.28964717883236946,28,57.21198802386346,-0.13198127,0,3.0
SYC,1.85864340651709,0.21120866410226546,28,58.25925181498231,-0.12587768,1,3.0
TUR,0.6877586396128219,0.13140090149710182,26,57.59419484706028,-0.114425294,0,1.0
NER,2.4665822621349367,0.2911617767297414,28,55.552057205598835,-0.11177131,0,2.0
ZWE,1.0411191992361848,0.13609666890196281,26,56.26372458017507,-0.102621645,0,4.0
PCN,3.0196831297864537,0.24549494089984658,26,57.150005559640434,-0.092352174,leontief,3.0
CUB,2.1321127522258,0.2133414150362526,19,56.954624571578826,-0.06310936,0,4.0
ERI,1.5591294553190465,0.07240560512427474,31,55.23481458283191,-0.059844416,0,1.0
AFG,1.473566803461156,0.16799591516279333,24,55.96486446121745,-0.050357368,-3,4.0
GRD,1.7151818419787332,0.21850931074027147,33,52.735463969448276,-0.027597867,1,2.0
BFA,1.7565090996837636,0.19553347791424303,20,60.61330068814503,-0.026319994,0,2.0
BHR,1.659498877831004,0.17090786572056083,19,52.20847856936698,-0.022709291,0,1.0
DZA,2.4873863357741954,0.28945138236231027,29,56.25238006938338,0.00034522318,0,4.0
NAM,1.7199972965690766,0.33141341273416736,29,52.84657055183705,0.00074601144,0,2.0
COL,1.6408475348685514,0.16293382515732902,20,56.47723558037954,0.01037349,0,3.0
LTU,1.0636093571585854,0.08416757529576602,34,56.45002772407048,0.016012419,1,4.0
CHN,0.3167759729860631,0.10409650340844245,33,57.05721200172989,0.037595555,0,1.0
PRT,0.9552917124624757,0.15427929739236945,18,59.35031326224963,0.04572925,1,1.0
TTO,1.524193035500602,0.22850400041507146,33,54.782532770816175,0.07364698,0,2.0
GRL,2.5748558221737046,0.08086500729634694,29,56.79160798563599,0.08992215,0,2.0
LVA,1.3673863099952954,0.12221911365574123,29,54.02578166269364,0.09012837,1,2.0
ROU,0.4616257487744461,0.07716007472161679,23,57.76832697108168,0.098901115,1,0.5
PYF,2.012184438885818,0.20186263426060347,19,59.99244349054537,0.11752102,1,3.0
SEN,1.0679979615012467,0.04468846250455738,36,57.33044931612122,0.12191313,-3,3.0
LBN,1.10614799204213,0.17797556670428416,26,52.646503299410945,0.122451775,0,1.0
RWA,2.7942342856160285,0.16963325861134804,33,58.747070491372256,0.12545352,-3,4.0
JOR,1.5737298792267789,0.22309644380726523,32,57.73221208616409,0.13086265,0,4.0
SPM,2.501508163984621,0.029459836015045426,30,54.3757888596622,0.1393707,-3,1.0
GRC,0.5309816815267828,0.1662236119980317,21,55.96456631395449,0.15093432,1,2.0
BIH,0.9838925829707024,0.1011774527020669,32,58.4829986665403,0.157271,0,1.0
IND,0.6365424599963304,0.0392867660725551,29,53.26605063679128,0.17185499,0,0.5
CYP,1.0566146460606278,0.08806809600601606,29,59.21748048044895,0.18781804,1,2.0
KNA,1.7377095743595463,0.07451965466203225,33,57.74831899987657,0.19103312,0,3.0
ABW,2.7257952649636135,0.30561202013081046,22,50.83865407855208,0.20152168,0,2.0
DJI,1.3333577325483195,0.1630394707010604,21,55.34244950862182,0.22314957,0,2.0
MYS,1.3420058866929867,0.3601083525266727,26,57.27893876174265,0.22831802,1,3.0
BGR,0.8053789724631348,0.1740813829269735,28,58.46894255417908,0.24119909,1,2.0
NCL,1.5298426244911476,0.3160396114934203,16,59.837260296754785,0.24256401,1,4.0
SWZ,1.1785379543919257,0.016626944670034338,26,56.65861805754154,0.25269476,0,0.5
LBY,2.6292475630756744,0.31337768029109736,26,56.58130057319118,0.25846565,0,3.0
SLE,2.6418488244378358,0.1051925368238501,26,57.42826494640346,0.27212328,0,2.0
KGZ,2.9320775665882444,0.3181506887842751,28,51.658112481219106,0.29579088,0,2.0
CXR,2.5529678544063312,0.1509864491322882,28,54.86773364872853,0.3275169,0,1.0
URY,1.0275078784714362,0.07880476109791323,31,55.11126228844833,0.32805026,1,2.0
EST,1.2557201952733719,0.06042671143735845,24,59.271221043922345,0.33947396,0,1.0
ANT,1.9092469521800122,0.18952063364998073,22,50.64622385833911,0.36088416,0,1.0
HRV,0.7213473673708047,0.04913885565153331,34,58.88797421609257,0.37323758,1,1.0
MHL,2.1004802358186394,0.2742677413046921,31,58.67628521580531,0.41064262,1,2.0
MLT,1.9762729816161841,0.3643030684766282,23,58.09789779215834,0.43566248,0,2.0
CHL,1.5648069495909163,0.20067080300674744,22,58.245878567125516,0.4498819,0,4.0
TUV,1.978242604772747,0.045607964349532404,19,58.583914774121865,0.45860752,1,1.0
CYM,3.0681953202087975,0.12315775516839167,29,56.922726510087216,0.47840247,1,3.0
ATG,1.5198374054448425,0.0931453426555715,24,58.36962223994875,0.5291579,0,2.0
BLR,1.2178479419784314,0.07999636914942065,35,59.20855989361989,0.538457,1,1.0
SCG,0.7064603169047097,0.17619338989643651,31,57.68045048860903,0.5489967,1,2.0
PRK,0.9009770355734782,0.05142856720438549,29,59.10968421543794,0.55851454,-3,1.0
BTN,2.9646400122903773,0.1402234414415433,30,58.982370022189826,0.5630271,0,3.0
FLK,2.5769955593947644,0.23619674115943767,23,55.35971498604156,0.57828486,0,4.0
STP,2.612811051277967,0.2385772455545866,27,53.63135203072884,0.5897043,1,3.0
VEN,1.6921183256590682,0.22315576586245955,23,54.31802602452141,0.5949737,0,2.0
AZE,1.6348027969087877,0.14760256472743394,32,57.28443324843108,0.60282785,1,4.0
ISL,2.0817923457998946,0.07902244577204298,29,55.901876906485036,0.6155479,0,2.0
CPV,2.2367566770663174,0.2209271062740642,34,54.99619787361338,0.64821213,0,2.0
WLF,1.6134778138561499,0.12949102246594513,34,58.18471623051954,0.65918344,1,2.0
KAZ,1.4865802061471367,0.20634861713662667,19,57.84875205932362,0.6903933,0,2.0
AND,1.2506635939296078,0.14861356041042983,27,57.758193494906834,0.7052572,1,2.0
MEX,1.1050313049205507,0.1455546615438177,25,59.48237180033673,0.7091404,0,4.0
ZAF,1.6726905737411624,0.10282351220512886,32,57.73726179769295,0.72310853,1,2.0
KWT,2.619292165825027,0.2763705674392243,29,56.20268416618495,0.74177223,1,4.0
CCK,1.7432755501410089,0.0948616564855238,33,60.06216097885689,0.766353,0,1.0
NRU,2.251971080324991,0.10928034485552085,28,56.94367645149828,0.7883604,0,3.0
ATF,2.0447257879307603,0.12132547749998912,31,58.24003889880084,0.81526047,0,3.0
NZL,0.9776932723522836,0.09915362654141469,22,56.062177073330325,0.8242567,1,3.0
POL,0.7170219225431675,0.14984228207506978,27,59.24379654969015,0.831445,0,3.0
ARG,1.30530664518542,0.11029582521346426,26,59.70328331510067,0.84663844,0,1.0
AUS,1.1743756335515259,0.11929291171611456,27,58.22976584021114,0.8492839,0,1.0
KOR,1.4493223277856744,0.3006067435823907,26,57.332212209963295,0.8869196,0,4.0
HUN,0.8173330923140651,0.15662638704609688,32,59.883990375132434,0.8934465,1,1.0
MSR,1.1373079772524282,0.06730660298236668,34,60.27543261382436,0.91326314,1,1.0
DMA,2.2497972573748615,0.14747518114249802,26,53.0287168751891,0.92046946,0,2.0
BHS,1.4777498671656484,0.10429088330040048,27,60.517862180224455,0.9330292,0,1.0
BRA,0.7827046253754317,0.037872911118170705,26,57.95054973990508,0.93435884,-3,0.5
PSE,0.8125267070570086,0.12239081311763023,27,59.31601757996323,0.94311816,1,2.0
