,country,log_likelihood,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
0,BRN,3.9013343310114514,27,48.42996155251113,-2.44921875,1,1
1,PNG,2.1687470001310567,27,51.1508968983429,-2.314453125,1,1
2,NGA,3.9476671276115805,26,49.645756446398806,-2.224609375,1,1
3,KHM,2.0680945851937484,23,49.0025781419278,-2.005859375,1,1
4,COG,2.768160950288167,30,50.925395518870566,-1.96484375,1,1
5,MMR,2.318818497042852,31,50.262239711692445,-1.93359375,1,1
6,HTI,2.4098173956842612,30,49.20436916148156,-1.73828125,1,1
7,LAO,2.1866928604038556,28,49.792843067055756,-1.70703125,1,1
8,FSM,3.4138994032825662,22,49.39517108218026,-1.69140625,1,1
9,GIN,2.2458419612614806,28,51.045923106791896,-1.6796875,1,1
10,COD,2.884131102182888,28,51.68081988101943,-1.66015625,1,1
11,VUT,3.2845793989981344,26,48.76396190393136,-1.65234375,1,1
12,SLB,3.0280840812649146,23,49.67565231943382,-1.626953125,1,1
13,GNQ,3.2025903726656737,29,50.19915186705926,-1.6025390625,1,1
14,GNB,3.0712534017796154,26,54.32656741637637,-1.6005859375,1,1
15,BGD,2.5832443232261864,20,49.73351293095065,-1.595703125,1,1
16,TCD,3.268954672675916,17,51.53914150356304,-1.48828125,1,1
17,IRQ,2.6191897389074015,23,50.38695742639406,-1.447265625,1,1
18,MNG,1.8615915851128615,26,50.94840543692251,-1.447265625,1,1
19,MDG,2.0390870140054247,24,49.69870840460982,-1.43359375,1,1
20,CMR,2.7627494793664784,31,53.477974683904215,-1.3427734375,1,1
21,MWI,2.5902479738771875,27,50.77011819407213,-1.2861328125,1,1
22,GAB,2.6750965544188263,22,48.420011947613744,-1.2861328125,1,1
23,MRT,2.8104358846604263,36,54.31649381196988,-1.2236328125,1,1
24,TKM,2.9016610479071367,25,55.085473508827164,-1.2216796875,1,1
25,SDN,2.111827240285928,52,55.170591617192905,-1.1943359375,1,1
26,MOZ,3.629430002099668,30,54.372643307991865,-1.1435546875,1,1
27,ETH,3.552821905098958,26,53.319958951265974,-1.140625,1,1
28,GHA,1.505768456022204,40,54.25407284343864,-1.1376953125,1,1
29,LKA,1.1430178159213609,25,50.449215948576985,-1.1328125,1,1
30,YEM,2.530347183694872,31,54.17684088551758,-1.1181640625,1,1
31,NIC,1.868631684358626,25,50.425599173185326,-1.0595703125,1,1
32,MHL,3.9836328573784057,20,50.67158380998316,-1.0419921875,1,1
33,LSO,3.0512706926449593,28,50.530020119162835,-0.9853515625,1,1
34,MLI,1.3590690901929388,36,55.58538248123518,-0.982421875,1,1
35,CIV,1.6166597767470077,30,52.08180985761886,-0.9765625,1,1
36,TON,1.8832802122412877,34,51.898429369916464,-0.96044921875,1,1
37,AGO,2.785433671949859,24,50.86211639064459,-0.95849609375,1,1
38,HND,1.290412751802578,29,48.77007159526028,-0.95166015625,1,1
39,SOM,2.711988152527948,26,50.911839631976065,-0.93115234375,1,1
40,COM,3.8016556315711476,19,48.41502905979629,-0.927734375,1,1
41,PRY,1.4570258896788912,36,53.04951237199837,-0.91650390625,1,1
42,FJI,1.43639367395971,31,49.274865606377396,-0.908203125,1,1
43,SUR,2.3842903066449432,30,55.94152529492383,-0.88330078125,1,1
44,VNM,1.3389684225135285,25,50.99696849578617,-0.87451171875,1,1
45,TZA,1.5752624437814875,22,50.78073295564624,-0.8642578125,1,1
46,BEN,2.469637210846935,27,51.35083338777511,-0.845703125,1,1
47,LBR,2.1728100331096867,28,52.47462909854072,-0.83984375,1,1
48,PAK,1.0732166886011798,26,48.9227746609674,-0.837890625,1,1
49,MAR,1.5781300980396824,33,53.13891279633425,-0.83544921875,1,1
50,PYF,2.9524672674439842,27,51.71387054302504,-0.82470703125,1,1
51,KIR,2.377237961258606,31,50.00217076740773,-0.8076171875,1,1
52,ZMB,2.2441980361164946,30,54.19531397303603,-0.806640625,1,1
53,TJK,3.5982285612047535,25,54.75738604724464,-0.77490234375,1,1
54,BFA,1.9598621739324043,33,54.01826644690431,-0.77099609375,1,1
55,NPL,1.4898357191250204,32,51.80709208953895,-0.76513671875,1,1
56,BOL,1.6698593295244593,38,53.935888510351425,-0.76416015625,1,1
57,ECU,1.4111102311847519,30,50.973910053150426,-0.7529296875,1,1
58,GUY,1.4006470500426855,33,51.92078477303666,-0.7529296875,1,1
59,BDI,1.7425965098637997,20,49.05214566139093,-0.71435546875,1,1
60,MUS,1.2221819179093598,26,51.21299574980339,-0.6962890625,1,1
61,TGO,2.190685471882658,33,53.11784337158886,-0.6943359375,1,1
62,MAC,1.8796931312453995,22,50.272851597505245,-0.68212890625,1,1
63,SYR,1.4318967184125704,36,54.54678490040601,-0.6806640625,1,1
64,BWA,2.400956193254929,28,50.954818160327655,-0.65576171875,1,1
65,MNP,2.2928586170842085,23,49.58296070830076,-0.583984375,1,1
66,GMB,2.8535998020422633,35,54.51541136157053,-0.58154296875,1,1
67,UGA,1.3506558646515783,27,48.856775158067656,-0.54345703125,1,1
68,PER,1.3258912035692454,31,50.60440598640504,-0.529296875,1,1
69,KEN,0.9693172005337193,27,50.9995481388071,-0.52685546875,1,1
70,DOM,1.8280971510807047,28,52.12903618228628,-0.513671875,1,1
71,BLZ,1.4869768391062814,30,51.09247129271734,-0.5107421875,1,1
72,GTM,1.2092687926435437,31,50.7681791584253,-0.50341796875,1,1
73,TUN,1.3198844613275604,31,51.067266518210815,-0.48095703125,1,1
74,SPM,2.213986927240044,38,52.76448312296407,-0.478271484375,1,1
75,ALB,1.9187166784737655,34,52.70616456661117,-0.47119140625,1,1
