country,kl_divergence,clarity,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
TZA,1.2792789826567779,0.18184001505273384,24,60.740217373669964,-1.1051522,0,1.0
AFG,1.9854790711909756,0.3307442039919277,22,60.3110092825174,-1.0769901,0,2.0
MOZ,2.038512945361392,0.2099605111999211,34,62.051730675647725,-1.0567931,0,2.0
GUY,2.6610859651198724,0.2700648214029767,26,61.2680587676257,-1.0376264,1,4.0
BOL,1.7424387598383038,0.3235591541145232,22,61.067041189647824,-1.0044128,0,2.0
LBR,1.6976446973106423,0.20892637994792307,33,64.90451050607605,-0.98394376,0,3.0
MDV,2.730911592622649,0.2212793491211008,23,61.342428110953605,-0.972749,0,3.0
LBY,2.151581238988349,0.17387685262225783,26,62.617914360559844,-0.9542155,0,4.0
YEM,1.5373278658315859,0.049919134769058515,26,61.45900946740388,-0.94877344,1,0.5
LKA,0.9218925635564607,0.2615080312952577,22,60.173100057385724,-0.9360757,0,1.0
MNG,1.9728090842828805,0.1615824676659814,25,61.34369592432029,-0.92970383,0,1.0
CIV,1.6843497257476168,0.09800305142107046,22,63.91950188351336,-0.9105359,0,2.0
ALB,1.2949902618625557,0.12867208313285805,29,61.185588637481565,-0.89443535,0,1.0
DZA,3.3229868365284987,0.1427241053267938,26,61.350043257253496,-0.88555753,0,2.0
GMB,1.7544763100846983,0.17396521671380494,34,64.44689485182697,-0.88370913,0,4.0
SUR,1.5303246966797652,0.090526373127503,28,63.6918703431664,-0.87684333,1,2.0
MAR,0.9483395296076537,0.061774986877917604,26,61.86476580793434,-0.87350863,-3,2.0
MWI,2.1218486839777455,0.2328154295598266,25,60.310123629632116,-0.86899143,0,1.0
AGO,1.6911021405695212,0.046333280941862065,36,62.3299939839154,-0.86859983,1,1.0
CMR,1.4599487346044615,0.1782399822903542,29,60.309708347360605,-0.8455985,-3,3.0
PAK,0.7438075997642811,0.19762024255087363,29,60.688929333336084,-0.82286096,0,1.0
UZB,1.7607119505733377,0.41774089760091193,29,60.33164296823417,-0.8188576,0,2.0
FSM,3.0311056541618724,0.24008510577802666,23,60.78468003365037,-0.8156079,1,3.0
ZWE,2.3662654233248417,0.16984493066338702,26,62.02690198192806,-0.7737313,1,2.0
ECU,1.3052836825320573,0.031585659795489995,25,60.96801865535619,-0.74314564,-3,2.0
TGO,2.418002021157254,0.2000800644663706,31,63.50741305703433,-0.7140089,1,3.0
GHA,1.5663839967407307,0.17941462630920169,30,62.06113985205004,-0.71110725,0,2.0
HND,1.046471485693919,0.12137734228700714,24,64.46129984245013,-0.70847106,1,2.0
PRY,2.5433880462443192,0.21489403906673,29,63.127523795933236,-0.7047482,1,3.0
NPL,1.1614664953317222,0.3262099887486076,29,62.08465411291658,-0.6883938,0,3.0
BEN,1.9786703280194589,0.345960605136853,21,61.525211710179626,-0.6778058,0,2.0
GRL,1.9258542913386838,0.23480972836755631,24,61.26870471539227,-0.65138924,0,2.0
ZMB,1.837695941694028,0.14851036726068367,29,62.50973473131004,-0.6407523,1,4.0
KEN,1.6672838507038055,0.31200328436683034,29,61.70611383040959,-0.6353517,0,2.0
SEN,1.3119351608839405,0.20513184031932907,22,60.14834006676208,-0.6161691,0,1.0
MUS,1.0116170932466884,0.039462268525620625,30,63.1017876515842,-0.5882045,-9,1.0
PER,1.2386270290951114,0.021138884933692204,30,61.584929984918325,-0.581744,-9,4.0
SYR,1.5040300229909174,0.14818338734563052,26,61.06244269978326,-0.54931486,0,1.0
VNM,1.083802215739507,0.08476799401996948,28,61.87251953664743,-0.53969544,1,2.0
FJI,1.69366611846224,0.18783417082033493,25,62.117556932894466,-0.533896,0,2.0
VEN,1.5535033361646398,0.17735540136228778,23,62.059473472512444,-0.5260532,1,2.0
BLZ,1.5325568912432632,0.11219689129828991,31,61.13927792246631,-0.5171748,0,1.0
RWA,2.3330887915112166,0.2991773653938615,31,61.67999311398206,-0.5167504,0,2.0
UGA,0.9524935801948948,0.22280675877349987,26,61.168335532170396,-0.50347114,1,2.0
AZE,1.8241334711436827,0.10778454328881393,19,62.922981904810044,-0.5020116,0,1.0
COM,2.6270898906934548,0.24985604149803398,31,61.168311294851144,-0.4940496,0,3.0
CPV,2.655140947437751,0.26162039981715124,27,61.41569816286629,-0.48361078,1,4.0
MDA,0.6393052413787947,0.04524629137134728,25,60.09970406342788,-0.44884878,-3,3.0
TON,1.7317911760171454,0.19822152765719958,22,65.94114537200215,-0.44745687,1,3.0
GTM,0.9062201802141724,0.18622863607989582,23,62.99904854153482,-0.44620025,0,4.0
CUB,1.6574499257621165,0.06226188792203269,28,63.18483604285912,-0.4127591,1,1.0
NAM,1.2646896283017637,0.07616303499836152,35,63.16180117531193,-0.41197732,-9,1.0
MKD,1.6517685088315885,0.028298105631255455,26,65.61625845510667,-0.36016604,-3,2.0
SLV,0.7185078940268322,0.13578577501243605,22,63.40011985504321,-0.3480869,1,1.0
KIR,3.221090908126448,0.22868454627854085,25,62.088262705648866,-0.33355007,0,4.0
NCL,1.924228180467439,0.04743260450867404,23,65.61381567471473,-0.32645193,1,1.0
DOM,1.2567228535778625,0.06057682195316605,33,63.48254258256114,-0.31134558,1,1.0
MHL,2.78932718263811,0.11223868761968825,27,60.67902089163084,-0.28031236,0,1.0
GAB,1.9810997868897913,0.062368697405857265,24,63.40929801252171,-0.2717505,1,2.0
TUN,1.0067716731006349,0.007762282926684905,23,61.79636945415168,-0.2716364,leontief,3.0
PRK,1.8168366557627105,0.15726010194182338,21,61.64362165330057,-0.22955416,1,2.0
JAM,1.4842136899476732,0.06371298312101004,26,64.24710549990785,-0.22620627,1,1.0
EGY,0.8171550141943562,0.07898754727045154,30,62.97334462736239,-0.20239411,0,0.5
DJI,1.7943379283371428,0.12529479568967472,20,60.899722164789196,-0.20197709,0,1.0
BWA,1.7095526315613274,0.1393950178704988,23,64.56676958692074,-0.18460147,1,2.0
IDN,0.4709272208137668,0.006896353440144831,28,63.66610258592694,-0.18431373,-9,1.0
PYF,0.9884896551265552,0.03982022878870983,31,65.07017169162283,-0.16907908,0,1.0
