,diversity,pred_num_caps,actual_eci,pred_eci,log_gdp_pc,exports_GDP,pop,inv_GDP,growth
diversity,1.0,0.3422694468525927,0.6251496479964395,0.4927945490578447,0.3962690344721163,0.15167413002212957,0.42861591416233635,-0.08190660778725689,0.19075165861555957
pred_num_caps,0.3422694468525927,1.0,0.28596962662965386,0.31589482961783916,0.202970488418883,0.07633933687311203,0.064203671042584,-0.0635174414884793,-0.0035038863436259527
actual_eci,0.6251496479964395,0.28596962662965386,1.0,0.6702773983192755,0.7344843351327238,0.38938314451490524,0.10431229462790725,-0.08560086106323754,0.13134508427109035
pred_eci,0.4927945490578447,0.31589482961783916,0.6702773983192755,1.0,0.513345326312514,0.30725083461492575,0.16290993326303932,-0.04847312548195289,0.019754774273863837
log_gdp_pc,0.3962690344721163,0.202970488418883,0.7344843351327238,0.513345326312514,1.0,0.4553649749660703,-0.047576442298055494,-0.04466037663994574,0.024033423853977366
exports_GDP,0.15167413002212957,0.07633933687311203,0.38938314451490524,0.30725083461492575,0.4553649749660703,1.0,-0.13725138032041737,-0.07830404121778357,0.051635293941135176
pop,0.42861591416233635,0.064203671042584,0.10431229462790725,0.16290993326303932,-0.047576442298055494,-0.13725138032041737,1.0,0.1288638805630955,0.1559564356247555
inv_GDP,-0.08190660778725689,-0.0635174414884793,-0.08560086106323754,-0.04847312548195289,-0.04466037663994574,-0.07830404121778357,0.1288638805630955,1.0,-0.1221866754739801
growth,0.19075165861555957,-0.0035038863436259527,0.13134508427109035,0.019754774273863837,0.024033423853977366,0.051635293941135176,0.1559564356247555,-0.1221866754739801,1.0
