country,kl_divergence,clarity,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
SLB,2.7523191619490452,0.4110710642924711,29,59.909701905994865,-2.305258,0,2.0
PNG,2.527488458880469,0.3633824366616345,23,54.2675166753134,-2.2382174,0,2.0
KHM,1.9644387445845226,0.4203002310830414,32,59.07279142437801,-2.1638327,0,3.0
MMR,2.1223834321282804,0.2876510581504089,28,55.37126388611949,-2.1376033,0,2.0
SDN,2.890924696476708,0.36984291614564047,19,53.96678540906316,-1.8763497,0,2.0
BGD,2.1588666967101986,0.406594128437168,19,58.53348137280077,-1.8652774,0,3.0
HTI,2.2650189536262975,0.41793736142683924,33,60.191511971431495,-1.8521578,-3,4.0
GIN,2.6093470644564176,0.3806592951913851,31,54.34971098001932,-1.8085862,0,2.0
GNQ,2.7942717524566563,0.37779386712499885,29,55.07836435997889,-1.7644746,0,3.0
MRT,2.374824785096566,0.35314771598335937,40,54.663612288947164,-1.7628356,1,3.0
LAO,1.4721567035522822,0.15196755193644762,30,56.32591369114394,-1.6178511,0,1.0
GNB,2.808091817384411,0.37154063980319196,23,55.45214584073716,-1.5501406,0,3.0
MOZ,1.8473247083064774,0.34817091616564255,34,55.217764786033605,-1.5302726,0,2.0
NGA,2.8698062784069562,0.369109978478136,22,54.10552843834212,-1.5281715,0,2.0
VUT,2.452560689612573,0.42586184884302036,23,58.596526604985044,-1.5133439,-9,4.0
LSO,1.983385189648668,0.31149213099856254,27,56.26962656945644,-1.4895645,1,3.0
IRQ,2.9376118477795816,0.3617178981805862,30,54.56306385694446,-1.4411101,0,2.0
TKM,2.0875701636129977,0.42953694099242934,20,53.85369978665881,-1.4323812,0,2.0
SOM,2.0144948925181163,0.32101733821781775,35,57.02689751828936,-1.413081,0,4.0
MDG,1.570462988758502,0.23657462027891696,21,57.13760157215909,-1.3855655,0,1.0
BEN,1.9595534175420781,0.19856503390338032,18,55.21242958761583,-1.3689694,0,1.0
ETH,1.9674838921379623,0.2725773274891061,26,57.15901252224988,-1.3483157,0,4.0
GUY,1.5740098680148753,0.30265202759779075,24,56.05757417710482,-1.3461744,0,2.0
LKA,1.4703166124646958,0.2533407949266181,26,56.50677554235264,-1.306044,0,1.0
NIC,1.2323955404603053,0.42944515706560893,34,60.66932038442169,-1.2772907,-9,3.0
MWI,1.8831586349304528,0.5257163717385627,26,61.07515903855069,-1.1883254,leontief,2.0
YEM,2.856694499764557,0.37174556942410686,29,55.87790702314689,-1.1875393,0,4.0
FSM,2.273278103699066,0.3301961963670449,32,55.300577100794925,-1.1537936,0,2.0
AGO,2.885784578091469,0.3703989276306866,25,54.168771774880724,-1.1516467,0,2.0
PAK,1.4698751166849087,0.16032095964745263,26,55.4311202396611,-1.1150153,1,2.0
GHA,1.9489694407136964,0.1657681178549112,24,62.76657768131302,-1.0917609,-3,2.0
CIV,2.176004086215532,0.36035951147675516,29,54.576882166332965,-1.0840122,0,2.0
ALB,2.0428629919848214,0.25061657725625675,28,55.217105957183875,-1.073089,0,2.0
MNG,2.554114210298509,0.2773614194611119,23,55.1543944238282,-1.0468615,0,2.0
TJK,2.068534708971575,0.2560818196013601,27,55.443326715656994,-1.0246134,0,2.0
SUR,2.034273885013049,0.25274655931001355,26,58.07789150252745,-0.9603601,0,4.0
HND,1.6223005428177795,0.2355697308106538,28,59.534738508943065,-0.9570403,-9,1.0
MAR,1.3619139204905633,0.06896780103860611,36,57.827096368786414,-0.95183957,0,1.0
MHL,2.4617284055636146,0.32172628778931467,26,60.11180417537024,-0.90441775,leontief,2.0
GMB,1.353326197302095,0.249225492439482,26,54.05640249956752,-0.9006167,0,1.0
FLK,2.480042389512152,0.3451408473709707,27,54.61359397448476,-0.89705724,1,3.0
UZB,2.2760549059747452,0.1974809797756154,23,58.72763562768698,-0.8775929,1,4.0
CMR,2.7829622791429673,0.37390176331235747,24,54.81916850623724,-0.86638665,0,3.0
FJI,2.0131291721700224,0.26713126703869583,30,57.76423163466529,-0.8574734,0,2.0
TZA,1.5725967828261127,0.2701400810457911,25,54.06745143296631,-0.8569145,0,1.0
COD,2.401066067820922,0.374449212842461,22,54.21825875530407,-0.84210944,0,2.0
BOL,2.1364443571598537,0.2761291695872352,26,56.56009201890367,-0.80540156,0,2.0
PRY,2.299742163971809,0.15271392352986535,27,58.61921849247977,-0.80082023,1,3.0
VNM,1.3998175843455307,0.2017047809643575,24,55.408559433527735,-0.78849125,0,1.0
BDI,1.9943388325499631,0.4097422978746874,37,59.62490380569051,-0.78791845,-9,3.0
MLI,1.8247700873938437,0.09362441829527068,20,57.61482606922465,-0.7663728,0,1.0
TON,1.8913917159165368,0.2215515370477964,34,57.73333098350585,-0.74723077,0,4.0
GAB,2.8680817423485854,0.3712482004239954,34,54.25693162122904,-0.7447422,0,2.0
ZWE,1.9625608360047464,0.22385632068696948,29,54.037836679674804,-0.73904157,0,1.0
TGO,1.8934767187036716,0.23178234685517674,22,55.62028594355607,-0.73626107,0,1.0
PER,1.8175149108635533,0.1469174237071994,24,55.7547528827474,-0.7345687,0,1.0
BFA,2.3436001613350377,0.2191127978634715,23,54.48409207893006,-0.7331804,0,1.0
NPL,1.2892112410648138,0.16903821335847358,24,56.691434336241336,-0.70319074,1,1.0
COG,2.784258582198262,0.3762127850357262,30,54.826988291602554,-0.70253205,0,3.0
MUS,1.1944867194875257,0.4123364527454122,28,61.15162489295093,-0.6767326,-9,4.0
PLW,2.680638169387127,0.1073356087215469,29,55.54630956283345,-0.657096,-3,2.0
SLV,1.5809142989768064,0.08342646843888113,26,62.51108207786286,-0.6508146,0,1.0
NER,1.6765231215866925,0.12051142821884464,24,57.24474622923301,-0.6431537,1,2.0
GTM,1.4938109833150366,0.12475039621280426,26,55.75920098175367,-0.6152085,0,1.0
SYR,2.6074548249759584,0.34908338054833565,32,54.243704098741574,-0.6045632,0,2.0
