,diversity,pred_num_caps,actual_eci,pred_eci,log_gdp_pc,exports_GDP,pop,inv_GDP,growth
diversity,1.0,0.3461033384200505,0.5543082187412607,0.48458328875511586,0.4279980896832424,-0.02577314953732442,0.39925025889010074,0.07708422055541907,0.10683103234568894
pred_num_caps,0.3461033384200505,1.0,0.36370295778923867,0.41710365587477527,0.2542674843619232,0.025691981771557976,0.03314331766365552,0.05377387530269628,0.0007351865227163995
actual_eci,0.5543082187412607,0.36370295778923867,1.0,0.5876669228297328,0.6233001642047082,0.1225022451620734,0.06046004778471214,0.04290040274232617,-0.10427001586662199
pred_eci,0.48458328875511586,0.41710365587477527,0.5876669228297328,1.0,0.3954700579940677,0.0028035740099417164,0.03596901945364014,0.06108731256623966,0.06493051569507843
log_gdp_pc,0.4279980896832424,0.2542674843619232,0.6233001642047082,0.3954700579940677,1.0,0.413515503074747,-0.07227634614682783,0.152189395003281,-0.3811908369017989
exports_GDP,-0.02577314953732442,0.025691981771557976,0.1225022451620734,0.0028035740099417164,0.413515503074747,1.0,-0.135519090013346,0.25134795643026414,-0.12976045648130635
pop,0.39925025889010074,0.03314331766365552,0.06046004778471214,0.03596901945364014,-0.07227634614682783,-0.135519090013346,1.0,0.06666881774652579,0.27153526191652194
inv_GDP,0.07708422055541907,0.05377387530269628,0.04290040274232617,0.06108731256623966,0.152189395003281,0.25134795643026414,0.06666881774652579,1.0,0.1042801677840281
growth,0.10683103234568894,0.0007351865227163995,-0.10427001586662199,0.06493051569507843,-0.3811908369017989,-0.12976045648130635,0.27153526191652194,0.1042801677840281,1.0
