country,kl_divergence,clarity,pred_num_caps,pred_eci,actual_eci,best_rho,best_nu
BRN,3.035546942659254,0.3471293281933441,32,55.56814604085737,-2.4497395,-9,3.0
PNG,1.7752413754394956,0.3305734549321683,29,49.6006834680895,-2.3138843,1,3.0
NGA,2.609692321629688,0.18772720012973254,28,55.49025505292326,-2.224921,leontief,4.0
KHM,1.357379519780423,0.3763440749199205,33,50.697005608774184,-2.0066352,0,2.0
COG,2.4927018033042336,0.24261539899700557,26,50.4367253409971,-1.9651159,1,3.0
MMR,1.7318229605573707,0.05956323203844682,28,52.62235094992419,-1.9334913,0,1.0
HTI,1.885841997917013,0.2771003703168753,29,51.03493963060049,-1.7385213,1,4.0
LAO,1.6913759789382607,0.19878171147902968,27,53.4447114937729,-1.707192,0,4.0
FSM,2.2231203733659997,0.2659756469638802,28,51.58288392024805,-1.6913774,0,3.0
GIN,1.7855774408395537,0.30538156098872504,23,51.263132826345355,-1.6800702,1,3.0
COD,2.0859788888516912,0.16725872541815479,27,51.756418666017225,-1.6604666,1,4.0
VUT,2.623251679747962,0.3061581736137602,30,53.30292916597151,-1.6528083,0,4.0
SLB,2.29518653194242,0.07554368854836224,24,53.984809303020974,-1.6267105,0,4.0
GNQ,2.5198655002260884,0.2536562790923773,27,55.17341282848203,-1.6029636,1,3.0
GNB,2.247947544391559,0.29136202030456615,23,49.58635568750267,-1.600486,1,3.0
BGD,1.5558480398167802,0.40788940236399607,18,50.891933827812146,-1.595594,1,3.0
TCD,2.8466080909347333,0.17789085596566667,30,53.12831885382254,-1.4877938,0,2.0
MNG,1.980854585974561,0.23176748397954772,24,52.623276353098696,-1.4473149,1,4.0
IRQ,2.2774650967988332,0.31492870524175454,22,49.85480160705931,-1.4471611,1,3.0
MDG,1.3983630797952906,0.31125015013793955,32,52.20963705850248,-1.4340131,0,3.0
CMR,1.9817732229138758,0.21019880965571658,32,51.052442216762856,-1.3427694,1,2.0
MWI,1.6180282895616203,0.2206424217784001,27,51.90944352783323,-1.2860343,0,2.0
GAB,2.6863404386843364,0.23122505767988466,28,51.2794339572563,-1.2856494,1,4.0
MRT,2.272135647547336,0.21674270580600452,29,51.05643759861926,-1.223775,1,2.0
TKM,2.316078939283799,0.20213422965419992,30,51.168821606714914,-1.2212803,1,4.0
SDN,2.009902541063618,0.13671330056685782,24,52.36750641364714,-1.1946453,1,3.0
MOZ,2.6817490293582615,0.2527274258006502,28,49.17839792194177,-1.1435379,1,2.0
ETH,1.9272814545130037,0.2913278725722749,26,49.45714854509698,-1.140481,0,2.0
GHA,1.822639315196141,0.1596644442272428,32,54.78452122245425,-1.1381114,0,3.0
LKA,0.7563580917164557,0.2995449179404458,38,52.61548704563811,-1.132697,0,3.0
YEM,1.6929734486413497,0.23888118453429807,29,52.3943745562993,-1.118299,0,2.0
NIC,1.184447280883248,0.3093201934092874,22,52.84463967107053,-1.0597665,0,3.0
MHL,2.7576335900989766,0.47674291133443236,18,56.176585331868104,-1.0419577,-3,4.0
LSO,2.0953576971586245,0.35083650991031,31,51.71936124310658,-0.98521495,0,3.0
MLI,1.7011541074579983,0.04183837110826927,25,53.75709901741024,-0.9823717,0,4.0
CIV,1.4624978602836918,0.1277297073610867,26,51.590806697360044,-0.97678703,0,1.0
TON,1.9588085275505802,0.24360253890358097,20,48.44266564292794,-0.9604517,1,2.0
AGO,2.021530553402146,0.17743903718944265,37,51.94414828188537,-0.9586749,1,3.0
HND,1.108101557964228,0.24537313502547087,26,51.86941098787326,-0.9517754,0,2.0
SOM,2.475116107022084,0.29289684873780375,25,51.35591754313247,-0.93100995,1,4.0
COM,2.123249497021256,0.5685705594512609,32,54.832632647629396,-0.9277844,-3,4.0
PRY,1.6992261102380126,0.07245654739717977,36,54.22862729924923,-0.9164557,0,4.0
FJI,1.2773969278958994,0.23924154463775404,25,48.19825871641825,-0.9083858,0,1.0
SUR,3.029908305414853,0.12164509712965088,35,57.43625856728776,-0.88328016,1,3.0
VNM,1.4853022806928802,0.15253821312670846,24,53.5153942074266,-0.87463415,0,3.0
TZA,1.3024907595916275,0.1409984680819416,28,53.547894847275245,-0.86445564,-3,1.0
BEN,2.416651913688743,0.2912288155181869,25,51.45748515513778,-0.8458618,1,4.0
LBR,2.012915405203235,0.08493157673534224,31,52.517933432783266,-0.83987045,1,2.0
PAK,0.9102319342500543,0.23730049088983962,25,50.57200917742762,-0.8377711,0,1.0
MAR,1.4004572826577395,0.16367787820841595,25,50.43896329799008,-0.83529603,0,1.0
PYF,2.233074918857576,0.14772056708928816,22,52.28224387622365,-0.82488763,0,3.0
KIR,2.12256736965464,0.18940468350357853,20,52.28271610458849,-0.8078288,0,3.0
ZMB,2.667383824661546,0.18948586449486993,25,54.173686212069626,-0.8066262,0,4.0
TJK,2.062201371210272,0.25579588785244156,28,49.027095818935365,-0.77492476,1,2.0
BFA,1.6541691491520463,0.11640290382452168,32,53.37601864200408,-0.77120626,0,2.0
NPL,1.0043735167166266,0.19649169362032015,36,53.842981553487725,-0.76533693,0,4.0
BOL,1.6111203074875542,0.19157720656717814,27,54.546339272101925,-0.7641479,0,2.0
GUY,1.4751992244841765,0.22451958117038906,25,51.951963462037966,-0.75275415,1,3.0
ECU,1.164584035860644,0.14202362334702834,26,53.83669806520311,-0.75272363,0,4.0
BDI,2.22110482833874,0.17049381832160493,23,55.1667837176228,-0.7145542,-9,1.0
MUS,0.8507644528119871,0.11991240829050687,28,51.72651407653842,-0.6962305,0,1.0
TGO,1.8534073520854453,0.23552492684708815,26,48.91657712736177,-0.6944869,0,1.0
MAC,1.2381941938463292,0.23977199264261628,28,50.63200572618855,-0.6822889,0,1.0
SYR,1.2859527383584037,0.02769870590095158,20,50.28627547118408,-0.6805559,1,0.5
BWA,1.8888272080400643,0.13011943597717324,27,51.30705923179841,-0.65554327,1,3.0
MNP,1.5920761767354608,0.3442597563368338,28,52.27875011718186,-0.58414584,0,4.0
GMB,2.8436443940022262,0.1046923042266068,29,53.302853237588714,-0.58137083,1,2.0
UGA,1.4829891540808728,0.11073016154574278,32,53.51915186169151,-0.5436488,0,4.0
PER,0.8426813299043906,0.05014900869198835,36,56.69759918116227,-0.5291077,leontief,1.0
KEN,1.004940330256732,0.08334827133046385,22,52.63648920228397,-0.52707183,0,2.0
DOM,2.12749242528967,0.031050256624662764,25,54.96190560863352,-0.5136806,-3,4.0
BLZ,1.744964870342007,0.15990136823670043,27,52.21847420099047,-0.5106347,1,3.0
GTM,0.7463078114935895,0.2323337928232707,24,51.77140394090579,-0.50340706,0,1.0
TUN,0.9131504134379147,0.1443414038129519,27,52.3947452545256,-0.4808635,0,2.0
SPM,2.5497761201820914,0.13644705731205353,27,52.32879473910411,-0.47830677,-3,4.0
ALB,1.471949681480154,0.19242601832867978,26,51.03436211356671,-0.47130004,1,3.0
PAN,0.9365350300380909,0.18577825059455444,27,48.968534602271134,-0.45009944,0,1.0
SLV,0.7809916418063664,0.19433992272767886,32,51.713707072649804,-0.44131616,0,1.0
IDN,1.0505132880391717,0.15359406521401764,28,55.92180382649321,-0.3931849,leontief,1.0
GRL,2.1701608063617943,0.18128565576134115,29,54.61041091397627,-0.39004606,1,4.0
COK,2.26075514117797,0.1804360341653093,22,50.59121817177891,-0.3806305,1,3.0
RWA,1.580994663409339,0.11287132922495768,26,55.02301545646445,-0.36947823,1,2.0
PHL,2.168926750967969,0.2700380092555441,24,53.425138438793276,-0.35689998,1,4.0
JAM,1.4659811400491616,0.1876362339483506,33,51.14276469124339,-0.3466678,1,2.0
VCT,2.623562560292063,0.18349458466952417,23,51.25246045923301,-0.34411407,0,3.0
NAM,0.999757294564468,0.17148751096714454,29,49.30229415799871,-0.34391943,1,1.0
SYC,1.8088301537957265,0.22828259696517628,34,48.801418203599894,-0.33939472,0,1.0
ANT,1.2835252482998385,0.12060399435463864,24,55.47715545759237,-0.32436147,1,1.0
UZB,2.0077691309232164,0.11217987354807146,26,54.77360474785671,-0.2987679,1,2.0
KGZ,1.9977493572951635,0.22350393510160982,25,49.82168924924868,-0.26288682,1,2.0
FLK,2.9451487043461304,0.25875882001570405,37,55.04899754479537,-0.24285762,leontief,3.0
MDA,1.1894389115434052,0.13202643713139806,24,52.891157518762896,-0.23210146,1,2.0
CAF,1.4183627653194055,0.10904571365986737,37,53.01917476848945,-0.22464421,0,2.0
NER,1.1255057933700325,0.1589146136499584,28,54.554282008005465,-0.20665306,0,2.0
ZWE,1.6717057374897781,0.28773660031274306,27,53.75787483748419,-0.20630305,0,3.0
SEN,1.3835356383650748,0.06093832577902969,18,53.75703862635909,-0.18700393,0,4.0
MKD,1.6416118748268387,0.07824343558902624,23,53.667270383966724,-0.18269536,1,2.0
WSM,1.7839152957855386,0.17275620248739298,22,53.13098464188432,-0.16064814,1,3.0
PLW,2.5171633436307244,0.2716258047843514,20,50.476710922219716,-0.13974744,1,3.0
EGY,1.0843490354819352,0.1195700252457782,33,51.06191464728583,-0.13779008,-3,1.0
LBY,2.4771470931547186,0.2563076788816282,24,50.125018542117495,-0.08982648,1,4.0
OMN,1.5134041541160554,0.14006179757123216,24,53.26826071860888,-0.08347745,0,4.0
JOR,1.2407603964022738,0.16809239989531588,31,51.31804961145619,-0.07891767,1,2.0
ERI,1.529825072629205,0.16981387312712315,27,54.60145334850712,-0.052827954,0,3.0
AFG,2.2297845689293463,0.22010326911034217,22,46.845060558206704,-0.019245476,0,1.0
AZE,1.6928194309079765,0.039264628512254984,22,54.113045412142135,-0.013244413,0,0.5
PSE,1.90450793907605,0.1171357293734081,27,54.36761204644754,-0.0068296255,0,1.0
ATG,2.3369083878424273,0.1683083125702417,35,53.55322733176904,-0.005086418,1,4.0
TKL,1.4243646290924945,0.10900589511982339,33,53.46813054390295,0.00078867644,1,2.0
IRN,1.2789586931531436,0.12944340354884043,28,55.07463342899399,0.029518802,0,3.0
MDV,1.6799394912390821,0.18339166194070888,29,50.44899141738712,0.040165566,1,2.0
CYM,2.2802164640068625,0.3194639683600573,24,53.61234766904605,0.04128004,0,3.0
CRI,1.604388593909292,0.19616524096532317,26,53.98779775891659,0.043099716,0,2.0
TTO,2.3091034946456674,0.2499750960945386,27,59.26110046531498,0.052693505,-9,2.0
BHR,1.061965329965278,0.23301729221856382,28,51.24433972815596,0.06395189,1,2.0
PCN,2.3458456208108975,0.07879391935083302,28,55.40110297302038,0.071406566,1,3.0
ARE,0.7686832052305107,0.07371899949285743,26,52.95056735797464,0.07305837,0,1.0
TUR,0.4403496584775981,0.14540011092273664,37,53.274049617006455,0.09380698,0,1.0
GUM,2.329936599443926,0.23606718064893006,38,51.92079751472917,0.12291968,1,4.0
BTN,1.7309875143922018,0.20447223838367312,28,53.96212283766945,0.12326307,0,3.0
COL,1.7280965615590869,0.09736630979167704,36,55.80208972203041,0.12481999,0,1.0
THA,0.7576359590040573,0.1293718060251916,31,55.23933036202034,0.13566607,1,1.0
DZA,2.9000192409146632,0.2309737558744659,29,54.90466676390168,0.15859734,leontief,4.0
TLS,1.507712785199943,0.08711323721672781,28,51.88007467950765,0.1691595,1,1.0
SWZ,1.3445711598030536,0.12731541670049207,27,55.993920668647235,0.18272169,0,1.0
HKG,0.8949845560328495,0.09750912549753499,25,53.6144135353091,0.19665995,0,1.0
NCL,3.530850094283897,0.11742970480748072,27,55.34746268915157,0.20686407,1,3.0
LBN,0.9518621359924554,0.10652897553303053,35,50.810382448691655,0.20796593,1,1.0
TCA,1.2455198344907048,0.11437565613104417,34,53.22405761115279,0.21253413,0,1.0
BGR,0.6157732924577599,0.09087067155705764,34,53.13755696391574,0.2533515,1,2.0
GRC,0.6940123975199634,0.11574279294460832,24,53.42162789704884,0.2581276,0,1.0
CPV,2.1396559527455414,0.19608075461916585,25,47.73380514142819,0.26415855,0,1.0
DJI,1.3829507440858793,0.12555943905329547,22,52.289493380890484,0.26862872,0,2.0
GRD,1.6016400603660965,0.09889839014792501,29,53.85831148864416,0.2746304,1,4.0
CHL,1.046262215902563,0.24234337228841063,28,54.09766170271848,0.2785698,1,3.0
BHS,2.79899387031074,0.1326132968139797,29,51.19805791429055,0.28705707,0,2.0
ATF,2.627666061506338,0.36891601477776337,23,49.16650543794207,0.29015198,1,4.0
BMU,2.4145223515161893,0.10669312986149482,27,49.722742070913725,0.29428712,0,1.0
URY,1.0508995937086192,0.07474847356853942,37,52.13295089572391,0.2948788,0,1.0
PRT,0.5861376674680521,0.02612038643020076,27,55.256275953374505,0.30294043,0,0.5
BIH,1.0483916340853625,0.12700121321188929,21,52.27800779400271,0.30493644,0,1.0
KWT,1.8257882933038476,0.08596350895691873,29,52.90776356397491,0.31045258,1,1.0
IND,0.3892426173803178,0.06545792379899618,23,54.867011777282144,0.32475102,-9,4.0
ROU,0.9355950009255639,0.05766015044533179,27,52.97621755214397,0.34113982,0,0.5
VGB,1.9166810105099232,0.10539120884156516,33,56.31901989790361,0.35806432,0,1.0
GIB,1.7573186079742422,0.03901055674807108,25,53.00901199818782,0.36936828,1,1.0
KAZ,2.231867578898885,0.16775301905833573,26,51.9733382920761,0.3766118,1,2.0
ABW,1.6754961260717949,0.2216270911003152,32,56.077640879907975,0.38430244,1,3.0
CUB,1.4661697018887976,0.18054368975861768,26,52.21842613625347,0.39580655,1,2.0
DMA,2.6837734541673575,0.055083266176017665,28,54.22272698768643,0.39964065,1,4.0
ISL,1.9123543028124381,0.18008633846031707,26,53.32458104126173,0.40639976,1,3.0
CHN,0.32647866252351276,0.04792921259538607,32,55.19375075814674,0.4111371,-9,4.0
PRK,1.2482419415450114,0.10036298652449194,21,53.11039861129965,0.44351566,1,2.0
KNA,2.4072659982026052,0.3034870526115492,25,54.29104101763685,0.4758735,0,4.0
LCA,2.1620985220612603,0.027153368851133064,22,54.13403036133211,0.4808773,1,1.0
AUS,0.9461782479294856,0.08094372737183175,19,49.40259362174396,0.49127617,0,0.5
LTU,1.0474280228850024,0.10556732819766246,30,54.94520521731082,0.5117425,0,1.0
QAT,2.800330955337584,0.24925242825000926,28,54.984203151347685,0.53989327,leontief,4.0
LVA,0.9180492445842094,0.1343362518664014,25,53.86116619312943,0.55625314,1,2.0
CYP,0.5553046971916809,0.05874932793552512,33,54.328383558745955,0.57563984,1,3.0
VEN,2.1201631529584204,0.08350992745297381,25,54.25464445384851,0.58426344,0,2.0
IOT,1.7228339614113442,0.06724433119247575,26,53.362965128140296,0.60208136,1,2.0
ZAF,0.6303408209033244,0.1713032102405052,27,54.23822536364113,0.62406665,0,2.0
